Date;New Cases;7-Day Moving Avg;Num of week
22.01.2020;1;0;4
23.01.2020;0;0;4
24.01.2020;1;0;4
25.01.2020;0;0;4
26.01.2020;3;0;5
27.01.2020;0;0;5
28.01.2020;0;0;5
29.01.2020;0;0;5
30.01.2020;0;0;5
31.01.2020;2;0;5
01.02.2020;1;0;5
02.02.2020;0;0;6
03.02.2020;3;0;6
04.02.2020;0;0;6
05.02.2020;0;0;6
06.02.2020;0;0;6
07.02.2020;0;0;6
08.02.2020;0;0;6
09.02.2020;0;0;7
10.02.2020;0;0;7
11.02.2020;1;0;7
12.02.2020;0;0;7
13.02.2020;1;0;7
14.02.2020;0;0;7
15.02.2020;0;0;7
16.02.2020;0;0;8
17.02.2020;0;0;8
18.02.2020;0;0;8
19.02.2020;0;0;8
20.02.2020;0;0;8
21.02.2020;2;0;8
22.02.2020;0;0;8
23.02.2020;0;0;9
24.02.2020;0;0;9
25.02.2020;0;0;9
26.02.2020;0;0;9
27.02.2020;1;0;9
28.02.2020;0;0;9
29.02.2020;10;1;9
01.03.2020;6;2;10
02.03.2020;25;6;10
03.03.2020;24;9;10
04.03.2020;22;12;10
05.03.2020;62;21;10
06.03.2020;51;28;10
07.03.2020;63;36;10
08.03.2020;153;57;11
09.03.2020;219;84;11
10.03.2020;303;124;11
11.03.2020;285;162;11
12.03.2020;430;214;11
13.03.2020;299;250;11
14.03.2020;371;294;11
15.03.2020;1206;444;12
16.03.2020;772;523;12
17.03.2020;2795;879;12
18.03.2020;3423;1328;12
19.03.2020;4759;1946;12
20.03.2020;3568;2413;12
21.03.2020;5835;3194;12
22.03.2020;8837;4284;13
23.03.2020;10792;5715;13
24.03.2020;10193;6772;13
25.03.2020;13931;8273;13
26.03.2020;16957;10016;13
27.03.2020;18156;12100;13
28.03.2020;19309;14025;13
29.03.2020;18113;15350;14
30.03.2020;22064;16960;14
31.03.2020;22715;18749;14
01.04.2020;27271;20655;14
02.04.2020;26090;21959;14
03.04.2020;35085;24378;14
04.04.2020;30664;26000;14
05.04.2020;25711;27085;15
06.04.2020;42594;30018;15
07.04.2020;22071;29926;15
08.04.2020;31700;30559;15
09.04.2020;31673;31356;15
10.04.2020;34182;31227;15
11.04.2020;32735;31523;15
12.04.2020;28542;31928;16
13.04.2020;24600;29357;16
14.04.2020;26082;29930;16
15.04.2020;27212;29289;16
16.04.2020;29096;28921;16
17.04.2020;29711;28282;16
18.04.2020;29899;27877;16
19.04.2020;24731;27333;17
20.04.2020;29460;28027;17
21.04.2020;26168;28039;17
22.04.2020;26608;27953;17
23.04.2020;37163;29105;17
24.04.2020;29993;29146;17
25.04.2020;33804;29703;17
26.04.2020;28397;30227;18
27.04.2020;23698;29404;18
28.04.2020;23733;29056;18
29.04.2020;25651;28919;18
30.04.2020;31549;28117;18
01.05.2020;29609;28063;18
02.05.2020;29572;27458;18
03.05.2020;29828;27662;19
04.05.2020;19318;27037;19
05.05.2020;22488;26859;19
06.05.2020;22966;26475;19
07.05.2020;31099;26411;19
08.05.2020;25316;25798;19
09.05.2020;26984;25428;19
10.05.2020;24279;24635;20
11.05.2020;17549;24383;20
12.05.2020;21501;24242;20
13.05.2020;20819;23935;20
14.05.2020;26995;23349;20
15.05.2020;22769;22985;20
16.05.2020;32062;23710;20
17.05.2020;13411;22158;21
18.05.2020;24705;23180;21
19.05.2020;23504;23466;21
20.05.2020;22694;23734;21
21.05.2020;20448;22799;21
22.05.2020;24280;23014;21
23.05.2020;26544;22226;21
24.05.2020;15365;22505;22
25.05.2020;24967;22543;22
26.05.2020;16354;21521;22
27.05.2020;19737;21099;22
28.05.2020;21361;21229;22
29.05.2020;18265;20370;22
30.05.2020;23698;19963;22
31.05.2020;26197;21511;23
01.06.2020;15033;20092;23
02.06.2020;24980;21324;23
03.06.2020;14707;20605;23
04.06.2020;20548;20489;23
05.06.2020;29061;22032;23
06.06.2020;29101;22803;23
07.06.2020;17844;21610;24
08.06.2020;17661;21986;24
09.06.2020;17429;20907;24
10.06.2020;20562;21743;24
11.06.2020;21860;21931;24
12.06.2020;22478;20990;24
13.06.2020;25483;20473;24
14.06.2020;21930;21057;25
15.06.2020;18690;21204;25
16.06.2020;28625;22804;25
17.06.2020;22990;23150;25
18.06.2020;27957;24021;25
19.06.2020;32375;25435;25
20.06.2020;32421;26426;25
21.06.2020;27604;27237;26
22.06.2020;26703;28382;26
23.06.2020;34441;29213;26
24.06.2020;37823;31332;26
25.06.2020;40632;33142;26
26.06.2020;44784;34915;26
27.06.2020;44686;36667;26
28.06.2020;41012;38583;27
29.06.2020;35901;39897;27
30.06.2020;43750;41226;27
01.07.2020;54451;43602;27
02.07.2020;52823;45343;27
